Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
257722,GREENLAND PLACE,Camden Town,NW1 0ND,J/W GREENLAND STREET,35/18,74,Generic LED Lighting,Wall Light,,,06/08/2021,529005,183807,-0.141263,51.538434,POINT (-0.141263 51.538434),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
916,CHALK FARM ROAD,Haverstock,NW1 8BB,J/O REGENTS PARK ROAD R.H,35/18,99,Cosmopolis,Lighting Column,,,,528190,184387,-0.152797,51.543831,POINT (-0.152797 51.543831),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242608,ORNAN ROAD,Belsize,NW3 4QD,O/S NO 35,35/18,44,Generic LED Lighting,Lighting Column,600,Yes,,527023,185096,-0.169361,51.550467,POINT (-0.169361 51.550467),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
251566,LINCOLN'S INN FIELDS,Holborn and Covent Garden,WC2A 3JA,O/S NO 70,35/18,30,Generic LED Lighting,Lighting Column,500,Yes,,530622,181443,-0.118837,51.516817,POINT (-0.118837 51.516817),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
244730,HIGHGATE WEST HILL,Highgate,N6 6ND,OUTSIDE HILL COURT,35/18,56,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528063,186912,-0.153709,51.566552,POINT (-0.153709 51.566552),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242168,CROFTWAY,Frognal,NW3 7AG,NEAR FINCHLEY RD,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/12/2021,525376,185656,-0.192903,51.555868,POINT (-0.192903 51.555868),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241191,ABERDARE GARDENS,South Hampstead,NW6 3QD,O/S 70,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,526163,184241,-0.182064,51.542976,POINT (-0.182064 51.542976),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
244936,OAKESHOTT AVENUE,Highgate,N6 6AB,TOP OF AV.,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,,528323,186808,-0.149997,51.565558,POINT (-0.149997 51.565558),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
571,HERBERT STREET,Haverstock,NW5 4HB,O/S NO 39,35/18,29,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528088,185006,-0.154042,51.549418,POINT (-0.154042 51.549418),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246638,WILMOT PLACE,Kentish Town South,NW1 9JP,FRONT OF N 9,35/18,50,Generic LED Lighting,Lighting Column,500,No,31/12/2021,529215,184466,-0.137995,51.544308,POINT (-0.137995 51.544308),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
