LSOA Code,Total_Decayed_Score,Z-Score_Decayed
E01000394,157.52102288897856,-0.17744745781934435
E01000395,68.04202468078762,-0.33322928692790255
E01000396,39.176798553609046,-0.383483288579347
E01000398,77.75838550665485,-0.3163132229124051
E01000399,78.85823945030602,-0.3143983908006777
E01000400,90.17150250335884,-0.294702139759844
E01000401,145.12633656335808,-0.1990264534015193
E01000402,109.5909662337,-0.26089309360600677
E01000403,1035.1991711513965,1.350579342243956
E01000404,318.8439001285595,0.10341367604096734
E01000405,204.20136507789533,-0.0961775594608134
E01000406,303.26697368140384,0.07629443976854729
E01000407,132.46882902227912,-0.2210630174689537
E01000408,247.5098813845524,-0.020777968256949636
E01000409,47.15659731925833,-0.36959055763103305
E01000410,86.90793006717463,-0.3003839790038881
E01000411,57.17718167560161,-0.35214484421193865
E01000412,116.99878862546609,-0.2479961664498082
E01000413,132.17854921552475,-0.2215683910220221
E01000414,360.63760783708807,0.17617600421226148
E01000415,38.745332029555605,-0.38423446646088477
E01000416,282.2807701888694,0.03975771906784369
E01000417,223.05219972515573,-0.06335848950720736
E01000418,140.90963874862808,-0.20636767214033802
E01000419,64.42798687124319,-0.33952128205203636
E01000420,69.56728264834771,-0.33057383167240145
E01000421,53.537304679442045,-0.35848182504036274
E01000422,115.67958549763063,-0.2502928827780552
E01000423,37.94170131549183,-0.3856335775939061
E01000424,85.00300869351206,-0.3037004235533307
E01000425,39.48402642792788,-0.3829484086502806
E01000426,78.78914222252835,-0.31451868821957024
E01000427,111.98354161282867,-0.25672764946487364
E01000428,362.8531532724794,0.18003324141104346
E01000429,235.210296894759,-0.04219139271927076
E01000430,176.4442929569831,-0.14450227869418147
E01000431,222.5773895734545,-0.06418512810835969
E01000433,276.134572808087,0.029057265450641013
E01000434,171.2769251804193,-0.1534986020776505
E01000435,140.9108901803935,-0.2063654934131135
E01000436,53.193120943569234,-0.35908104466728497
E01000437,64.400931005534,-0.3395683859795802
E01000438,106.82363845716407,-0.2657109770356876
E01000439,248.75966806469702,-0.018602105105515493
E01000440,42.302141170963836,-0.37804210574011077
E01000441,205.1984456182512,-0.0944416545730118
E01000442,82.40668905876989,-0.30822058392336016
E01000443,65.68929834557082,-0.33732535437648065
E01000444,79.86061078054887,-0.31265327471312504
E01000445,86.44686544636853,-0.30118668680577143
E01000446,59.35194433003673,-0.3483586093303564
E01000447,227.0237793608963,-0.05644401848612556
E01000448,44.610938144108765,-0.3740225187675345
E01000449,61.890453441008695,-0.34393909636714853
E01000450,111.85982858156076,-0.2569430323220961
E01000451,61.906314887676906,-0.34391148178469055
E01000452,44.32645276964573,-0.3745178042856554
E01000453,109.22604523016015,-0.26152841655943654
E01000454,182.37312148358643,-0.13418026156345417
E01000455,76.46816242611985,-0.31855948533675826
E01000456,50.656376004019975,-0.363497486229867
E01000457,506.69842189131356,0.4304660748443819
E01000458,50.06139468680405,-0.364533341343775
E01000459,136.32375334360665,-0.21435164190734737
E01000460,41.94180719750255,-0.3786694427309111
E01000461,64.35965619131639,-0.339640244920602
E01000462,278.63109865266426,0.033403686066349615
E01000463,42.80202147022486,-0.3771718203221512
E01000464,143.63154074036655,-0.2016288744401149
E01000465,181.1788172250361,-0.13625953050515852
E01000466,268.14625581576814,0.015149704375057894
E01000467,135.3833713908865,-0.2159888352553839
E01000468,230.87222226950516,-0.049743926983893384
E01000469,155.06820474945377,-0.1817177838611802
E01000470,308.7309728164106,0.08580719467801178
E01000471,76.17711212967349,-0.3190662003028501
E01000472,361.18728351924346,0.1771329827759176
E01000473,361.65805934593186,0.17795259766712343
E01000474,100.27799570300868,-0.2771068601071653
E01000475,344.678855391375,0.1483920135991851
E01000476,163.46721450761544,-0.16709521176015193
E01000477,267.2670017548241,0.013618933930508448
E01000478,177.0994563349792,-0.14336164735685128
E01000479,119.53904941657413,-0.2435736038331501
E01000480,96.11462148663905,-0.28435524312080185
E01000481,140.1692202636234,-0.20765673156444386
E01000483,406.8814201514414,0.2566859094586456
E01000484,139.9589411194938,-0.20802282495341626
E01000485,85.47816635807054,-0.3028731799365923
E01000486,80.27148626937307,-0.3119379455692294
E01000487,182.9346806635125,-0.13320259397716713
E01000488,116.55766381483491,-0.24876415928881387
E01000489,174.8603761531439,-0.1472598582580893
E01000490,318.8676231020563,0.10345497744439422
E01000491,200.47594274557815,-0.10266347366137175
E01000492,79.70164856773252,-0.31293002595942376
E01000493,83.77285001346091,-0.30584211459938215
E01000494,139.24796171521868,-0.20926063130210593
E01000495,257.08336783039397,-0.004110646769853793
E01000497,292.80296103188897,0.0580767231758363
E01000498,171.16852736378058,-0.15368732133563845
E01000499,283.5149166026051,0.04190635270891548
E01000501,152.77852121452366,-0.18570409457423992
E01000502,219.6293363762079,-0.06931765226009262
E01000503,213.69055710418033,-0.07965699351552208
E01000504,170.02800772407622,-0.15567295192119765
E01000505,149.30462825487282,-0.19175209924817033
E01000506,304.2744532731889,0.07804844927626049
E01000507,128.4276473973481,-0.2280986646923043
E01000508,474.1449335518627,0.3737908543017412
E01000509,201.7688490418312,-0.10041253979164237
E01000510,522.8125025713455,0.4585204899921418
E01000511,177.9908988297203,-0.1418096569998208
E01000512,143.87658156998887,-0.20120226138666936
E01000513,100.99184851577351,-0.2758640511898364
E01000514,71.47848854112407,-0.32724644585291535
E01000515,194.56397950855109,-0.1129561285315547
E01000516,301.136548498411,0.07258539587633282
E01000517,231.25745591885268,-0.04907323996536093
E01000518,137.43716623807651,-0.21241320382995627
E01000519,144.17025709279957,-0.20069097593394872
E01000520,157.05293673298544,-0.1782623900271384
E01000521,465.13179907745933,0.3580990986658871
E01000522,167.0500449909181,-0.1608575482049994
