LSOA Code,Decayed Combined Score
E01000232,1079.6082139610812
E01000232,1991.3022117532114
E01000233,1083.0651066819466
E01000233,2694.414669648123
E01000234,869.647176554203
E01000234,1461.5459590251621
E01000235,1097.833965387013
E01000235,2908.5090624876075
E01000236,1095.5894719282524
E01000236,1939.1408767649689
E01000237,1927.3859783405026
E01000237,5702.8536909052145
E01000238,1265.664052397897
E01000238,2040.5199007937756
E01000239,1162.5212193690402
E01000239,3978.752691253099
E01000240,1185.2612372564233
E01000240,2627.876128485213
E01000241,1160.3563036445642
E01000241,1766.5946737110137
E01000242,1094.3923758670833
E01000242,1933.9504702512706
E01000243,1516.089428798961
E01000243,5249.046734679562
E01000244,1136.6534681723308
E01000244,3537.5593660747386
E01000245,2253.0048062233086
E01000245,5671.634776446606
E01000246,774.274735928328
E01000246,1157.8359594258102
E01000247,868.1286935458076
E01000247,1735.3786324374664
E01000248,1236.3478297933304
E01000248,4207.833126722303
E01000249,706.3344590868584
E01000249,1219.9884798244486
E01000250,2094.7612359391906
E01000250,8481.547316877486
E01000251,1611.3648962515053
E01000251,3288.7712740957973
E01000252,1003.6616152110261
E01000252,2953.142366921335
E01000253,758.1631401138089
E01000253,2713.4402147678807
E01000254,925.8784015515328
E01000254,1330.1267422524918
E01000255,1065.7455639198479
E01000255,2230.7692830688934
E01000256,972.4729303515876
E01000256,1758.1004634497851
E01000257,1441.3029580404632
E01000257,5947.767958329812
E01000258,1523.5367045686182
E01000258,4841.979605735928
E01000259,1732.7963597551757
E01000259,3157.128560138042
E01000260,2095.9459515158233
E01000260,4601.3009487848185
E01000261,778.2082449836652
E01000261,1509.2407422081687
E01000263,724.5384951936454
E01000263,939.7773869639684
E01000264,2013.482526915044
E01000264,6502.357360237465
E01000265,1050.1354404121284
E01000265,2166.660921173147
E01000266,832.2956208665638
E01000266,1208.892303621699
E01000267,798.6944093183114
E01000267,1267.0585007130494
E01000268,1597.5671960703833
E01000268,5198.473529744959
E01000269,685.5261347012427
E01000269,1330.7436611534317
E01000270,670.1980134125931
E01000270,1223.711095622095
E01000271,877.3192675831964
E01000271,1955.1336479885435
E01000272,740.179141973794
E01000272,1177.0257329517203
E01000273,1068.9715956006614
E01000273,2608.004646333139
E01000274,1104.5813729340678
E01000274,2908.525771904686
E01000275,694.5245586740986
E01000275,1198.207830755669
E01000276,456.76131030612584
E01000276,736.1064126603998
E01000277,707.5454274373717
E01000277,1440.698347095751
E01000278,488.0164210451718
E01000278,913.0857864192492
E01000279,694.8640590829742
E01000279,1570.380872320599
E01000280,455.779876817155
E01000280,976.2878136869952
E01000281,1189.0684522809177
E01000281,5808.239531258816
E01000282,809.0758313108119
E01000282,1794.3862829316388
E01000283,508.1575041035446
E01000283,709.8916994170214
E01000284,1025.8379487643215
E01000284,2314.7146932652417
E01000285,564.6398367068142
E01000285,1482.2210296900007
E01000286,790.7285818804071
E01000286,2568.599690971686
E01000287,1027.626417181138
E01000287,2152.4353805866026
E01000288,830.2496970083199
E01000288,1568.6395538466109
E01000289,1636.5646434704727
E01000289,3213.979504572431
E01000290,778.5775115935578
E01000290,2255.5314735736565
E01000291,1096.6500048189123
E01000291,2698.7228222735544
E01000292,848.3821964723094
E01000292,2800.3528577649695
E01000293,910.1002591270938
E01000293,2068.232584734837
E01000294,1043.0305511293755
E01000294,3557.7068207050484
E01000295,895.3360149364586
E01000295,1757.7403803711238
E01000296,1451.122824906231
E01000296,5070.683209435475
E01000297,754.0775289517821
E01000297,1116.9736104700867
E01000298,1397.8767262090194
E01000298,4536.036696430181
E01000299,1664.1358397626225
E01000299,6741.455603211644
E01000300,717.928458989543
E01000300,1231.9666810469782
E01000301,742.1439319118894
E01000301,1149.3385768893643
E01000302,1152.922771720701
E01000302,3070.4931747900805
E01000303,618.6591393628314
E01000303,1151.4926421052367
E01000304,826.0630347886765
E01000304,1256.6609638671014
E01000305,2062.2305212434203
E01000305,4871.418478263306
E01000306,905.9127585656641
E01000306,1143.4609963908613
E01000307,3692.775131834369
E01000307,22174.60978515343
E01000308,1264.6562104539173
E01000308,3030.146637536331
E01000309,963.3189495690087
E01000309,1835.7936898020184
E01000310,1901.0119351347448
E01000310,5636.233073854682
E01000311,1174.0591025472695
E01000311,2094.3660981733806
E01000312,1045.489284436617
E01000312,2639.33877418734
E01000313,1368.8958034810532
E01000313,3282.2104596796953
E01000314,1508.3762100647054
E01000314,5934.5181996952315
E01000315,1501.7136707582695
E01000315,3019.352373489786
E01000316,3554.458454547499
E01000316,9003.128442383482
E01000317,913.6388901544362
E01000317,1790.7932723701583
E01000318,1121.1526938434697
E01000318,2027.7886431982854
E01000319,928.718966126495
E01000319,1215.576639335614
E01000320,834.7792386399735
E01000320,1758.6988336392913
E01000321,1060.6134792490964
E01000321,3524.952026454251
E01000322,1074.9465182048589
E01000322,2627.3187880734126
E01000323,2136.6349582240673
E01000323,8716.650397011283
E01000324,1124.34723981516
E01000324,1914.6742309529814
E01000325,551.2741155339353
E01000325,922.2585162068889
E01000326,764.4162429347855
E01000326,1238.8883103702972
E01000327,480.35874313853276
E01000327,1086.5135727352222
E01000328,961.2749535780732
E01000328,1702.6569528620487
E01000329,651.9768692374485
E01000329,2209.4720811236757
E01000330,1029.0409991327772
E01000330,3777.527285206546
E01000331,1098.8059096616203
E01000331,2145.037226013833
E01000332,856.2811920049755
E01000332,1473.8545282131824
E01000333,1495.8688627083302
E01000333,4113.597707542947
E01000334,499.5870315379724
E01000334,1384.6251069847237
E01000335,2581.871427099626
E01000335,6510.7198273321255
E01000336,1759.002860103547
E01000336,3818.7519371035223
E01000337,900.3062907567426
E01000337,1944.131618062818
E01000338,1112.9987407362757
E01000338,2153.8324269160685
E01000339,610.7922449509891
E01000339,1112.807399757893
E01000340,483.43143346041086
E01000340,1096.0033075703707
E01000341,392.7959905145365
E01000341,753.6461591872612
E01000342,520.6425175385492
E01000342,978.2850871690406
E01000343,678.3195191172194
E01000343,1407.3717192311658
E01000344,563.4870515614152
E01000344,1442.90424389444
E01000345,434.8692942592343
E01000345,618.0216707578271
E01000346,523.3984433493331
E01000346,1324.7870436028452
E01000347,676.098176380192
E01000347,1435.4717608377332
E01000348,457.8053020922023
E01000348,629.6321391517689
E01000349,668.1794704930237
E01000349,880.9478998611543
E01000350,659.3468727573608
E01000350,1382.6472131917726
E01000351,707.5917127106375
E01000351,865.2683595080375
E01000352,1107.2853797450916
E01000352,3519.81692735041
E01000353,456.4744535030297
E01000353,1034.767825724732
E01000354,511.8479119272716
E01000354,1149.425617477789
E01000355,440.336984053875
E01000355,875.2292691561521
E01000356,566.4494885322966
E01000356,2626.1105098545363
E01000357,424.8690244762752
E01000357,575.4831834462134
E01000358,532.9286482140242
E01000358,1889.325015451298
E01000359,485.0253129497326
E01000359,1111.4663780819412
E01000360,2454.9396139714327
E01000360,14401.031194568593
E01000361,446.74238767543807
E01000361,863.182250749934
E01000362,2025.9120516572837
E01000362,14468.214792518242
E01000363,551.0959575076445
E01000363,1021.9340224210267
E01000364,698.0212245138198
E01000364,1163.664561223447
E01000365,782.5372144480978
E01000365,2756.7034021638374
E01000366,660.2577995241329
E01000366,1391.052145665642
E01000367,1083.6256894217854
E01000367,2463.899850239386
E01000368,762.8949199564445
E01000368,1822.8755116464647
E01000369,695.8303443840807
E01000369,1334.189979654168
E01000370,610.2923868631523
E01000370,1415.087927126374
E01000371,601.7256518906763
E01000371,887.9428226575241
E01000372,879.8493354588526
E01000372,2589.5366637660127
E01000373,1115.4993207985065
E01000373,2336.160404961011
E01000374,1189.2002378158525
E01000374,2400.8410662261463
E01000375,1197.3913027517333
E01000375,2124.221542566631
E01000376,1006.9878613750019
E01000376,1611.2027103757857
E01000377,790.3690599183413
E01000377,1368.2206823924548
E01000379,705.4215504607591
E01000379,1453.3546455007233
E01000380,850.2993159556585
E01000380,1739.6598924345792
E01000381,770.151110552213
E01000381,1806.2474927771586
E01000382,490.4811778982253
E01000382,1188.933769596718
E01000383,904.7018008385832
E01000383,1856.2614123648273
E01000384,682.2242943915257
E01000384,1242.5675239412806
E01000385,2010.6117533376305
E01000385,3907.3072845469896
E01000386,1905.4752047506681
E01000386,3383.3635811955905
E01000387,476.608724538618
